Number,Other Numbers,Name,Class,Description,Longer Description,Material,Dimensions,Acoustic Measure,Provenance,Maker,Date,Location,Source,Acquired,Previous Owners,Mark,Labels,Information,Publication,Image,Sound Recording,Playable,Condition,Recorder
0256,,Recorder Part,Flutes,Descant recorder head of wood with white plastic beak and yellow plastic block.,,Wood PlantPlastic Synthetic,Max L = 127 mm   Max W = 31 mm,,"UK, England",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,SCHOTT'S C MADE IN ENGLAND PAT. NO. 692491,,,,Collections Image 18-10-2012,,yes (but it's only a head),Good condition.,Elin Bornemann [18/10/2012]
x073a,,Recorder,Flutes,Treble recorder of wood stained medium brown. The sockets are lined with cork.,,Wood PlantCork Plant,Max L = 474 mm   Max W = 42 mm,,Germany,Schott,20th century,Workroom - A1 - Box 7,Anthony Baines?,,,SCHOTT'S CONCERT MADE IN GERMANY,,,,Collections Image 18-10-2012,,"yes, foot joint very loose","Good condition, thumbhole and foot slightly chipped.",Elin Bornemann [18/10/2012]
0294,,Recorder,Flutes,Treble recorder of rosewood with cork lapped tenons.,,Rosewood PlantCork Plant,Max L = 472 mm   Max W = 39 mm,,"UK, England, Oxford",Robert Goble,first half 20th century,Workroom - A1 - Box 8,Judith Bailey,,Bought by the donor in an Oxfam shop.,ROBERT GOBLE 437,,For a biography of Robert Goble see http://www.gobleharpsichords.co.uk/Robert_Goble_Biog.pdf,,Collections Image 18-10-2012,,yes,Good condition.,Elin Bornemann [18/10/2012]
0299,,Recorder Part,Flutes,Descant recorder head of black plastic.,,Plastic Synthetic,Max L = 133 mm   Max W = 30 mm,,"UK, England",Dolmetsch,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,MADE IN ENGLAND DOLMETSCH DESCANT RECORDER PATENT APPLIED FOR,,,,Collections Image 19-10-2012,,yes (but it's only a head),Good condition.,Elin Bornemann [18/10/2012]
0262,,Recorder Part,Flutes,Treble recorder foot of dark brown plastic.,,Plastic Synthetic,Max L = 94 mm   Max W = 30 mm,,"UK, England?",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,,,,,Collections Image 19-10-2012,,no,Good condition.,Elin Bornemann [18/10/2012]
0247,,Recorder,Flutes,"Descant recorder of wood, with one-piece body and cork lapped tenon.",,Wood PlantCork Plant,Max L = 319 mm   Max W = 30 mm,,Switzerland,Andreas Kng,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,Kng Made in Switzerland   c'' [above top finger hole]  6F5 [near foot],,,,Collections Image 19-10-2012,,yes,Good condition.,Elin Bornemann [18/10/2012]
0246,,Recorder,Flutes,"Descant recorder of dark brown plastic, foot and body in one piece. The head and the foot have small flattened sections. ",,Plastic Synthetic,Max L = 319 mm   Max W = 30 mm,c,"UK, England",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,SCHOTT'S DESCANT C MADE IN ENGLAND,,Designed by Edgar Hunt.,,Collections Image 19-10-2012,,yes,"Good condition, slightly dirty, head fitting loosely.",Elin Bornemann [18/10/2012]
0242,,Recorder,Flutes,"Descant recorder of dark brown plastic, foot and body in one piece. The head and the foot have small flattened sections. ",,Plastic Synthetic,Max L = 319 mm   Max W = 30 mm,c,"UK, England",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,2 SCHOTT APPROVED [kitemark] BRITISH STANDARD BS 3499 MADE IN ENGLAND,,Designed by Edgar Hunt.,,Collections Image 19-10-2012,,yes,"Good condition, slightly dirty.",Elin Bornemann [18/10/2012]
0244,,Recorder,Flutes,"Descant recorder of wood stained dark brown, with one-piece body.",,Wood Plant,Max L = 307 mm   Max W = 30 mm,c,"UK, England?",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,[written on pencil on the foot:] MODEL 18.5.73,,,,Collections Image 19-10-2012,,yes,Good condition.,Elin Bornemann [18/10/2012]
0253,,Recorder,Flutes,"Descant recorder of aluminium with plastic beak, with one-piece body.",,Aluminium MetalPlastic Synthetic,Max L = 308 mm   Max W = 22 mm,,unknown,anon,,Workroom - A1 - Box 7,,,,,,,,Collections Image 19-10-2012,,yes,Good condition.,Elin Bornemann [18/10/2012]
0239,,Recorder,Flutes,Descant recorder of dark brown plastic with white plastic block. Foot and body in one piece. A gold-coloured spot is painted onto the head and body at the joint for alignment.,,Plastic Synthetic,Max L = 320 mm   Max W = 29 mm,,Japan,Nikkan,late 20th century,Workroom - A1 - Box 7,Edgar Hunt,,,Superio [on head] No. 2 PAT.T. 25757 39813-2 [on foot],,,,Collections Image 19-10-2012,,yes,Good condition.,Elin Bornemann [18/10/2012]
0236,,Recorder,Flutes,"Descant recorder of wood stained light brown, with one-piece body. The head socket is lined with cork. ",,Wood PlantCork Plant,Max L = 305 mm   Max W = 30 mm,c,Germany,Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,SCHOTT'S MADE IN GERMANY CONCERT B [kitemark] S 3499 PART 2A,,,,Collections Image 19-10-2012,,yes,Good condition.,Elin Bornemann [18/10/2012]
0237,,Recorder,Flutes,"Descant recorder of wood stained light brown, body and foot in one piece. The head socket is lined with cork. ",,Wood PlantCork Plant,Max L = 305 mm   Max W = 30 mm,c,Germany,Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,SCHOTT'S MADE IN GERMANY CONCERT B [kitemark] S 3499 PART 2A,,,,Collections Image 19-10-2012,,yes,Good condition.,Elin Bornemann [18/10/2012]
0215,,Recorder,Flutes,"Descant recorder of wood stained light brown, with one-piece body.",,Wood Plant,Max L = 307 mm   Max W = 29 mm,c,Switzerland,Hans Conrad Fehr,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,[bird] HANS CONRAD FEHR,,,,Collections Image 19-10-2012,,yes,"Good condition. Circular discolourations on the body, perhaps from bubblewrap.",Elin Bornemann [18/10/2012]
0235,,Recorder,Flutes,Descant recorder of white plastic with black plastic head. Gold-coloured spots have been painted onto the body and the head near the joint for alignment.,,Plastic Synthetic,Max L = 318 mm   Max W = 26 mm,c,Japan,Nikkan,late 20th century,Workroom - A1 - Box 7,Edgar Hunt,,,Superio Pipe Nikkan [on head]  PAT.T.25757 35928-1 [on foot],,,,Collections Image 19-10-2012,,yes,Good condition.,Elin Bornemann [18/10/2012]
0251,,Recorder,Flutes,Descant recorder of dark brown plastic with white plastic block and white rings around the head socket and the bottom of the foot. Foot and body in one piece. The tenon is cork lapped.,,Plastic SyntheticCork Plant,Max L = 324 mm   Max W = 28 mm,c,"China, Hong Kong",anon,late 20th century,Workroom - A1 - Box 7,Edgar Hunt,,,MADE IN HONG KONG No. 6506 (BRITISH EMPIRE),Piece of paper found with the recorder: 'Everything wrong!' (written by Edgar Hunt),,,Collections Image 19-10-2012,,yes,Good condition.,Elin Bornemann [18/10/2012]
0208,,Recorder,Flutes,Descant recorder of wood with white plastic beak and yellow plastic block. Foot and body are in one piece.,,Plastic SyntheticWood Plant,Max L = 324 mm   Max W = 28 mm,c,"UK, England",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,SCHOTT'S C MADE IN ENGLAND PAT. NO. 692491,,,,Collections Image 19-10-2012,,yes,Good condition.,Elin Bornemann [18/10/2012]
1067,,Transverse Flute,Flutes,"Transverse flute, 1867 system, made of cocus wood, with metal (silver?) keys. Head and foot are separate, with metal ferrules at the joints. The keys are padded with leather.",,Cocus Wood PlantSilver MetalLeather Skin Animal,Max L = 654 mm  Max W = 48 mm,,"UK, England, London",Rudall Carte,last quarter 19th or first half 20th century,Workroom - B1 - Box 14,Edgar Hunt,,,[crown] RUDALL CARTE & CO 23 BERNERS STREET OXFORD STREET LONDON 381 1867 PATENT [on body]  [crown] RUDALL CARTE & CO LONDON [on foot],"1867-system cocus FLUTE, Rudall, Carte & Co, London, c. 1880. Edgar Hunt Accession. 1067.",,,Collections Image 19-10-2012,,"probably, but keys might not function optimally","Fair condition, oxidation on the keys and ferrules.",Elin Bornemann [19/10/2012]
10024,,Recorder,Flutes,"Descant recorder of black plastic, foot and body in one piece.",,Plastic Synthetic,Max L = 323 mm  Max W = 31 mm,,"UK, England",Schott,late 20th century,Workroom - B1 - Box 10,unaccessioned stock,entered in records 19/10/2012,,SCHOTT'S C DESCANT MADE IN ENGLAND REG. DES. 836185,,,,Collections Image 19-10-2012,,"yes, but head very loose","Fair condition, mouthpiece slightly dirty, head very loose.",Elin Bornemann [19/10/2012]
1114,,Transverse Flute,Flutes,"Transverse flute, 5 keys, of black wood, in five sections. The keys are of white metal and are padded with leather. Metal ferrules are at the joints, the top of the head and the bottom of the foot.",,Wood PlantWhite MetalLeather Skin Animal,Max L = 622 mm  Max W = 41 mm,,"France, Paris",Arsne Zo Lecomte,second half 19th or early 20th century,Workroom - B1 - Box 14,Philip Bate,,,LECOMTE PARIS [on head]  [wreath and tuning fork] [on two body sections],,,,Collections Image 19-10-2012,,yes,Good condition.,Elin Bornemann [19/10/2012]
1145,,Transverse Flute,Flutes,"Transverse flute of boxwood with eight keys, in five joints, with ivory ferrules and ivory cap on the head. The keys are silver.",,Boxwood PlantSilver MetalIvory Tooth Animal,Max L = 668 mm  Max W = 37 mm,lowest note C,"UK, England, London",Goodlad,1861?,Workroom - B1 - Box 14,Katharine Jeans,,"Bought by the donor from from R. Morley-Pegge. Officially, by decree of Hebdomadal Council, part of the Morley-Pegge Gift",[lyre] GOODLAD & CO LONDON [on head] PATENT [on ferrule]  [lyre] GOODLAD & CO LONDON 1861 [on first and third body section] GOODLAD & CO. LATE [lyre] WILLIS & GOODLAD 15 VILLIERS ST. STRAND LONDON 1861 [on second body section]  PATENT [lyre] GOODLAD & CO. 25 VILLIERS ST. STRAND LONDON 1861 [on foot],,,,Collections Image 19-10-2012,,no,"Fair condition, cracked barrel, some keys not working properly.",Elin Bornemann [19/10/2012]
1111,,Transverse Flute,Flutes,Transverse flute of dark wood with ten keys. In three joints. The keys are of nickel alloy. Metal ferrules on the joints. Tuning slide in the head.,,Wood PlantNickel Alloy Metal,Max L = 672 mm  Max W = 40 mm,,"UK, England, London ",George Butler,second half 19th century,Workroom - B1 - Box 14,unknown ('purchased from a casual caller'),,,BUTLER HAYMARKET LONDON AND DUBLIN,,,,Collections Image 19-10-2012,,yes,"Good condition, some oxidation on the keys.",Elin Bornemann [19/10/2012]
1061,,Transverse Flute,Flutes,"Transverse flute of dark wood with ivory head. With eleven keys of nickel alloy, a tuning slide and ferrules at the joints, all of nickel alloy.",,Wood PlantNickel Alloy MetalIvory Tooth Animal,Max L = 715 mm  Max W = 45 mm,lowest note B,Germany,anon,,Workroom - B1 - Box 14,Edgar Hunt,,,,,,,Collections Image 19-10-2012,,no,"Fair condition, head cracked, some keys rather stiff, some oxidation on the metal.",Elin Bornemann [19/10/2012]
x18,,Transverse Flute,Flutes,"Transverse flute of dark wood in four sections. Meant to have nine keys, but incomplete now. Keys and ferrules round the joints of silver. Tuning slide in the head. Two of the key levers have ivory inserts.",,Wood PlantSilver MetalIvory Tooth Animal,Max L = 707 mm  Max W = 37 mm,lowest note B,"Germany, Hanover",Johann Adolph Neddermann,first half 19th century,Workroom - B1 - Box 14,Philip Bate,,,NEDDERMANN HANNOVER,,,,Collections Image 19-10-2012,,no,"Fair condition, one key missing completely, two keys missing levers, head cracked.",Elin Bornemann [19/10/2012]
1060,,Transverse Flute,Flutes,"Transverse flute of boxwood in five joints, with ivory ferrules and six keys of pewter.",,Boxwood PlantPewter MetalIvory Tooth Animal,Max L = 674 mm  Max W = 35 mm,lowest note C,"UK, England, London",William Henry Potter,,Workroom - B1 - Box 14,Edgar Hunt,,,6 WILLM HENY POTTER JOHNSON'S COURT FLEET STREET LONDON [on barrel]  WILLM HENY POTTER [on body and foot]  PATENT [on ferrule above barrel and on foot],"6-key boxwood FLUTE, William Henry Potter, London, c. 1815. With tuning slide and pewter plug keys patented in 1785. Edgar Hunt Accession. 1060. ",,,Collections Image 19-10-2012,,no,"Fair condition, barrel cracked, some keys not working.",Elin Bornemann [19/10/2012]
1059,,Transverse Flute,Flutes,"Transverse flute of cocus wood in five joints, with eight keys, six of silver and two of pewter. With silver ferrules lined with ivory. ",,Cocus Wood PlantPewter MetalSilver MetalIvory Tooth Animal,Max L = 660 mm  Max W = 40 mm,lowest note C,"UK, England, London",Richard (or Ronald) and George Payne,1835-1841,Workroom - C1,Edgar Hunt,,,PAYNE NO.13 LT.NEWPORT ST LONDON  [on two body sections]  PAYNE LONDON [on foot],"8-key cocus FLUTE, Payne, London, c. 1830. Edgar Hunt Accession. 1059",,,Collections Image 19-10-2012,,possibly,"Fair condition, head cracked, oxidation on the keys and ferrules.",Elin Bornemann [19/10/2012]
849,,Drum,Percussion Instruments,"Drum made from a wooden salad bowl, with goat skin membrane and a decorative ribbon round the edge. Circular hole in the base.",,Wood PlantGoat Skin AnimalRibbon Textile,Max Diam = 150 mm  Max H = 58 mm,,"Northern Ireland, Belfast",David Crookes,late 20th century,Workroom - B1 - Box 12,Jeremy Montagu,,Given to Jeremy Montagu by David Crookes.,D. CROOKES,,,,Collections Image 22-10-2012,,yes,Good condition.,Elin Bornemann [19/10/2012]
837,,Castanets,Percussion Instruments,"Castanets on a handle, wood painted black, the parts tied together with string.",,Wood PlantString,Max L = 172 mm  Max W = 53 mm,,unknown,anon,20th century,Workroom - B1 - Box 12,Edgar Hunt,,,,,,,Collections Image 22-10-2012,,yes,Good condition.,Elin Bornemann [19/10/2012]
0185A,,Tabor Pipe,Flutes,"Tabor pipe of brassed metal with red plastic head, two fingerholes and a thumbhole.",,MetalPlastic Synthetic,Max L = 294 mm  Max W = 18 mm,D at 440 Hz,UK,Generation,,Workroom - B1 - Box 12,Jeremy Montagu,,,GENERATION BRITISH MADE D,,,,Collections Image 22-10-2012,,yes,Good condition.,Elin Bornemann [22/10/2012]
10025,,Box,Miscellaneous Non-Instruments,"Wooden box, instrument case possibly for a flute, with four longer and one shorter compartments lined with black velvet.","Wooden box, instrument case possibly for a flute, with four longer and one shorter compartments lined with black velvet. Hinged lid with two angels. With lock at the front. The lid is inscribed 'Jacoby' and it looks as if there were futher inscriptions which have been scratched out.",Wood PlantVelvet Textile,Max L = 170 mm  Max W = 300 mm  Max H = 55 mm,,Unknown,anon,,Workroom - B1 - Box 12,Unaccessioned stock,entered in records 22/10/2012,,1 [on small circular sticker],,,,Collections Image 22-10-2012,,n/a,"Poor condition. Compartment walls broken, lid warped.",Elin Bornemann [22/10/2012]
1172,4B,Transverse Flute,Flutes,"Transverse flute of boxwood in four joints, with ivory ferrules and one brass key",,Boxwood PlantIvory Tooth AnimalBrass Metal,Max L = 615 mm  Max W = 30 mm  ,A 440,"France, Paris",Hrouard Frres,19th century,Workroom - B1 - Box 15,Jean Henry,1999 - 2000,,"[sunburst] HROUARD FRRES A PARIS [on head and two body sections, sunburst only on foot]",4B [sticker on each section],,,Collections Image 22-10-2012,,yes,"Head warped, otherwise good condition.",Elin Bornemann [22/10/2012]
1171,3B,Transverse Flute,Flutes,"Transverse flute of grenadillo wood in four joints, with horn ferrules and one brass key.",,Grenadillo Wood PlantHorn AnimalBrass Metal,Max L = 603 mm  Max W = 30 mm  ,A 440,"France, Paris",Joseph Baumann,c. 1790 - c. 1830,Workroom - B1 - Box 15,Jean Henry,1999 - 2000,,[star and lyre] BAUMANN A PARIS [star] [on each section],3B [sticker on each section],,,Collections Image 22-10-2012,,no,"Fair condition, padding missing on the key so it does not close the hole, one ferrule cracked.",Elin Bornemann [22/10/2012]
1170,2B,Transverse Flute,Flutes,"Transverse flute of wood in four joints, with ivory ferrules and one brass key.",,Wood PlantIvory Tooth AnimalBrass Metal,Max L = 603 mm  Max W = 30 mm  ,A 415,"France, Paris",Gilles Lot,third quarter 18th century,Workroom - B1 - Box 15,Jean Henry,1999 - 2000,,G. Lot [on head and body sections] POTTER LONDON [on foot],2B [sticker on each section],,,Collections Image 23-10-2012,,yes,Good condition.,Elin Bornemann [22/10/2012]
0367,7A,Flageolet,Flutes,Flageolet of wood with ivory ferrules and four brass keys. No mouthpiece. Two of the holes beneath the keys have been covered with stickers.,,Wood PlantIvory Tooth AnimalBrass Metal,Max L = 342 mm  Max W = 33 mm  ,A 440,"France, Paris",Gautrot Aine,third quarter 19th century,Workroom - B1 - Box 15,Jean Henry,1999 - 2000,,GAUTROT AINE A PARIS ,7a [sticker],,,Collections Image 23-10-2012,,no (no mouthpiece),"Fair condition, some corrosion on the keys, ring round the bell cracked.",Elin Bornemann [22/10/2012]
1173,5B,Transverse Flute,Flutes,"Transverse flute of wood in four joints, with horn ferrules and one brass key.",,Wood PlantHorn AnimalBrass Metal,Max L = 623 mm  Max W = 30 mm  ,A 425,France,Jean Franois Martin,1828-1840?,Workroom - B1 - Box 15,Jean Henry,1999 - 2000,,,5B [sticker on each section],the maker's name and the date were supplied by Jean Henry. There is no mark on the instrument. Jean Francois Martin does not appear in the Langwill index.,,Collections Image 23-10-2012,,yes,"Fair condition, edge of one of the ferrules chipped, ring at the bottom of the foot cracked and chipped. ",Elin Bornemann [22/10/2012]
